,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34
c1,0.081717789,0.000267906,0.219984281,0.022425465,0.00079719,0.008684413,0.004132225,2.61588E-05,0.004003694,0.002946355,0.000487972,0.000392774,7.87051E-05,0.000118851,0.000124379,0.001537172,0.001978312,0.02452874,3.33776E-06,2.59233E-05,4.2335E-05,0.02204868,0.003891269,1.77142E-05,6.58991E-05,9.44443E-06,3.76804E-05,0.000974332,1.52619E-05,0.000393541,0.000205101,0.000149934,0.000144332,0.000135879
c2,0,0.000207571,0.007655589,0.006743656,0.000168587,9.54382E-05,0.002764241,0.345961648,0.074689288,0.001682311,0.076228191,0.101581847,0.000544918,0.002642065,0.00324265,0.02133653,0.051958855,0.020673571,0,0,0,0,0.000576826,0,0,0,0,0,0,0,0,0,0,0
c3,0.014478943,0.000739651,0.155578033,0.002580498,0.0002006,0.000132943,0.000534747,0.001215224,0.007224524,0.000843449,0.000784645,0.001627679,0.000702853,0.00090779,0.00205226,0.001296675,0.000780378,0.005076606,7.24888E-05,0.000562997,0.000919424,0.004079952,0.000375266,1.75783E-05,9.86731E-05,0.000161788,0.000399659,0.000617388,0.000250486,0.000971623,0.000506378,0.000335151,0.000292561,0.000154675
c4,0.005285489,0.001691957,0.015407079,0.17505222,0.003395579,0.000331537,0.001279239,0.001807059,0.015201201,0.008264904,0.001376318,0.002501168,0.001421151,0.002271864,0.0045206,0.005069863,0.001775558,0.007585428,0.000214583,0.001666601,0.002721706,0.000474089,0.001407522,0.000109201,0.001838493,0.0008664,0.001304319,0.001049613,0.001201608,0.00290948,0.001516326,0.002070973,0.000932279,0.000871002
c5,0.002391938,0.001476755,0.005343381,0.014252153,0.092700777,0.000641702,0.000508993,0.00109985,0.002591376,0.00129542,0.00077172,0.001456486,0.000772429,0.001641701,0.003149799,0.004738861,0.000861401,0.004964831,8.23345E-05,0.000639466,0.001044304,0.000434763,0.000474466,1.81391E-05,9.69009E-05,0.000170588,0.000421375,0.000315151,0.000305128,0.000843613,0.000439664,0.000315923,0.000258251,0.000130328
c6,0.033604292,0.005056928,0.034067528,0.014314504,0.000659645,0.000288691,0.100276628,0.001607223,0.032939175,0.003873039,0.021306354,0.003395766,0.002069346,0.003127512,0.005397355,0.105430783,0.011232963,0.057230701,0.010794891,0.083840444,0.13691881,0.000694351,0.0008203,3.18307E-05,0.00016359,0.000351004,0.000813075,0.000839084,0.000706653,0.019471382,0.010147849,0.000620969,0.000438697,0.001040061
c7,0.00838013,0.005652654,0.013313237,0.006022853,0.000451488,0.000153891,0.042817062,0.001720498,0.011393152,0.007114959,0.003980925,0.00218907,0.001629088,0.004864178,0.003795982,0.007043453,0.010930673,0.006828593,0.005478637,0.042550812,0.069489213,0.000228671,0.005503726,0.000356209,0.004230395,0.001598107,0.157343362,0.038250455,0.016026534,0.047352915,0.024678794,0.141162481,0.000237361,0.004581673
c8,0.03042311,0.003975317,0.002818663,0.005897639,0.000533896,0.000161817,0.000783396,0.020866,0.021293178,0.005578815,0.006669752,0.011679387,0.000566615,0.001173034,0.001814772,0.002453014,0.041613806,0.009809203,0.006043427,0.04693735,0.076652815,0.000253654,0.023186038,0.000200791,0.007949743,0.012521585,0.011352764,0.000245357,0.015051778,0.025567765,0.013325085,0.007209866,0.001661655,0.003761056
c9,0.058686679,0.008904238,0.015070975,0.063431313,0.005580302,0.002380795,0.007781128,0.003926899,0.214144257,0.074754857,0.010043257,0.004896296,0.002514893,0.00673726,0.009764357,0.010012862,0.00153719,0.008164921,0.000623904,0.004845663,0.007913394,0.000294153,0.000532537,3.09646E-05,0.000111925,0.000520927,0.0029331,0.000773269,0.000570182,0.001524453,0.000794495,0.000427226,0.022341953,0.002080546
c10,0.003265594,0.0054257,0.034933398,0.007519167,0.005309624,0.000284566,0.003483338,0.000786789,0.012788432,0.039431246,0.001676114,0.00358034,0.012911489,0.022849465,0.045268027,0.010342711,0.002651874,0.252757669,0.001173862,0.009117011,0.01488888,0.014320435,0.017991437,3.53192E-05,0.00011983,0.002435443,0.004291117,0.000948544,0.003171719,0.04847947,0.024092591,0.003689336,0.000411023,0.004158347
c11,0.001429935,0.000807256,0.015288858,0.00248113,0.000184428,0.000189581,0.000718,0.022679033,0.011582258,0.001972705,0.112941467,0.009050536,0.004927718,0.008827912,0.005427358,0.004900938,0.026840384,0.565080325,4.64887E-05,0.000361063,0.000589648,0.000210235,0.000310199,1.01328E-05,7.0803E-05,0.000155288,0.000345666,0.000541873,0.000338347,0.000892825,0.000465311,0.000288941,0.000172081,0.000154003
c12,0.006173576,0.006576829,0.007874355,0.004001489,0.000650975,0.000406585,0.001628647,0.000429663,0.010556135,0.004038167,0.00864452,0.118748265,0.046140924,0.050731474,0.072079277,0.033279325,0.023499881,0.214144501,0.000625353,0.004856914,0.007931767,0.000304476,0.000443563,1.57275E-05,0.000125874,0.000315872,0.002134783,0.001243543,0.000625059,0.002388267,0.001244687,0.001564761,0.000235217,0.00202703
